Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
61663,"Pale Blue Dot: A Vision of the Human Future in Space","Carl Sagan","Sagan, Carl","Ann Druyan",="0345376595",="9780345376596",0,"4.30","Ballantine Books","Paperback","384",1997,1994,,2014/12/20,"to-read","to-read (#12)","to-read",,"",,,,,0,,,,,
19189942,"The Lady from the Sea","Henrik Ibsen","Ibsen, Henrik","Eleanor Marx",="",="",4,"3.81",,"Kindle Edition","89",2012,1888,2014/12/20,2014/12/19,"kindle","kindle (#34)","read",,"",,,,,0,,,,,
18905755,"What is DevOps?","Mike Loukides","Loukides, Mike","",="",="",4,"3.36","O'Reilly Media","Kindle Edition","18",2012,2012,2014/12/18,2014/12/18,"","","read",,"",,,,,0,,,,,
11068342,"Three Men in a Boat","Jerome K. Jerome","Jerome, Jerome K.","",="",="",0,"3.92","","Kindle Edition","223",,1889,,2014/12/18,"currently-reading, kindle","currently-reading (#8), kindle (#33)","currently-reading",,"",,,,,0,,,,,
11055298,"The Turn of the Screw","Henry James","James, Henry","",="",="",3,"3.44","","Kindle Edition","117",,1898,2014/12/17,2014/12/15,"kindle","kindle (#31)","read",,"",,,,,0,,,,,
255019,"The Devil's Disciple","George Bernard Shaw","Shaw, George Bernard","",="1595403000",="9781595403001",4,"3.76","1st World Library","Paperback","128",2004,1897,2014/12/06,2014/12/13,"kindle","kindle (#30)","read",,"",,,,,0,,,,,
11991504,"Dear Coca-Cola","Terry Ravenscroft","Ravenscroft, Terry","",="",="",2,"3.19","Razzamatazz Publications","Kindle Edition","196",2011,2011,2014/12/06,2014/11/02,"kindle","kindle (#29)","read","","",,,,,0,,,,,
23302083,"Yatrik","Arnab Ray","Ray, Arnab","",="",="9789384030506",4,"3.75","Westland Ltd.","Paperback","262",2014,2014,2014/11/03,2014/11/02,"kindle","kindle (#28)","read",,"",,,,,0,,,,,
15845322,"The Picture of Dorian Grey","Oscar Wilde","Wilde, Oscar","",="",="",4,"4.02","Amazon Digital Services","Kindle Edition","224",2012,1890,2014/12/12,2014/10/26,"kindle","kindle (#32)","read",,"",,,,,0,,,,,
11520955,"The Clinic","James Kerr","Kerr, James","",="0552084182",="",2,"2.29","Coward-McCann, Inc","Hardcover","384",1968,1968,2014/01/01,2014/10/22,"","","read",,"",,,,,0,,,,,
19292922,"3 a.m. (Henry Bins #1)","Nick Pirog","Pirog, Nick","",="",="",3,"3.86","Alex Tooms Inc.","Kindle Edition","100",2013,2013,2014/10/22,2014/10/22,"kindle","kindle (#26)","read",,"",,,,,0,,,,,
18652140,"Distributed Systems For Fun and Profit","Mikito Takada","Takada, Mikito","",="",="",4,"4.18","","ebook","60",,,2014/10/21,2014/10/21,"kindle, tech","kindle (#25), tech (#1)","read","","",,,,,0,,,,,
